Year,ISO3,ADM0_EN,ADM0_FR,ADM0_PCODE,ADM1_EN,ADM1_FR,ADM1_PCODE,ADM2_EN,ADM2_FR,ADM2_PCODE,Metropolis,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2025,CMR,Cameroon,Cameroun (le),CM,Littoral,Littoral,CM005,NA,Wouri,CM005004,Ville de Douala,1906354,1910178,3816532,191305,181516,189712,187628,161912,140346,133008,146876,155611,130418,92024,67955,50589,36527,22923,10252,7752,193481,183463,191945,189721,166720,140383,129152,137199,140900,124465,102051,75355,55101,39233,24670,10713,5626,384786,364979,381657,377349,328632,280729,262160,284075,296511,254883,194075,143310,105690,75760,47593,20965,13378
2025,CMR,Cameroon,Cameroun (le),CM,Centre,Centre,CM002,NA,Mfoundi,CM002007,Ville de Yaoundé,1879435,1883496,3762931,201544,190546,189774,176967,170249,144249,133635,148114,151377,120744,82276,59731,43842,32060,18811,8963,6553,199082,188642,188688,176688,172322,144422,128543,137643,145350,124368,92784,66915,49625,34533,20191,8874,4826,400626,379188,378462,353655,342571,288671,262178,285757,296727,245112,175060,126646,93467,66593,39002,17837,11379
